Sample	Dex_vs_EtOH-All	Dex_vs_EtOH-nonMamm	Dex_vs_EtOH-shMED1	Dex_vs_EtOH-shNIPBL	Dex_vs_EtOH-shSMC1A	Dex_vs_EtOH-shSMC1A-3	shMED1_vs_shMamm-Dex	shMED1_vs_shMamm-EtOH	shNIPBL_vs_shMamm-Dex	shNIPBL_vs_shMamm-EtOH	shSMC1A-3_vs_shMamm-Dex	shSMC1A_vs_shMamm-EtOH	shSMC1A-3_vs_shMamm-EtOH
DEX_nonMamm_1	2	2	0	0	0	0	1	0	1	0	1	0	0
DEX_shMED1_1	2	0	2	0	0	0	2	0	0	0	0	0	0
DEX_shNIPBL_1	2	0	0	2	0	0	0	0	2	0	0	0	0
DEX_shSMC1A_3	2	0	0	0	2	2	0	0	0	0	2	0	0
ETOH_nonMamm_1	1	1	0	0	0	0	0	1	0	1	0	1	1
ETOH_nonMamm_2	1	1	0	0	0	0	0	1	0	1	0	1	1
ETOH_shMED1_1	1	0	1	0	0	0	0	2	0	0	0	0	0
ETOH_shMED1_2	1	0	1	0	0	0	0	2	0	0	0	0	0
ETOH_shNIPBL_1	1	0	0	1	0	0	0	0	0	2	0	0	0
ETOH_shNIPBL_2	1	0	0	1	0	0	0	0	0	2	0	0	0
ETOH_shSMC1A_3	1	0	0	0	1	1	0	0	0	0	0	2	2
ETOH_shSMC1A_2	1	0	0	0	1	0	0	0	0	0	0	2	0
