Sample	MCF7_CTRL_NIPBL_rep1	MCF7_CTRL_SMC1A_rep1	MCF7_CTRL_MED1_rep1	MCF7_CTRL_POL2_rep1	MCF7_CTRL_ERA_rep1	MCF7_E2_NIPBL_rep1	MCF7_E2_SMC1A_rep1	MCF7_E2_MED1_rep1	MCF7_E2_POL2_rep1	MCF7_E2_ERA_rep1	MCF7_CTRL_NIPBL_rep2	MCF7_CTRL_SMC1A_rep2	MCF7_CTRL_MED1_rep2	MCF7_CTRL_ERA_rep2	MCF7_E2_NIPBL_rep2	MCF7_E2_SMC1A_rep2	MCF7_E2_MED1_rep2	MCF7_E2_ERA_rep2
MCF7_CTRL_WCE_rep1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_CTRL_NIPBL_rep1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_CTRL_SMC1A_rep1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_CTRL_MED1_rep1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_CTRL_POL2_rep1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_CTRL_ERA_rep1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_E2_WCE_rep1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
MCF7_E2_NIPBL_rep1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
MCF7_E2_SMC1A_rep1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MCF7_E2_MED1_rep1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
MCF7_E2_POL2_rep1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MCF7_E2_ERA_rep1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
MCF7_CTRL_WCE_rep2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
MCF7_CTRL_NIPBL_rep2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
MCF7_CTRL_SMC1A_rep2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
MCF7_CTRL_MED1_rep2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
MCF7_CTRL_ERA_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
MCF7_E2_WCE_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
MCF7_E2_NIPBL_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
MCF7_E2_SMC1A_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MCF7_E2_MED1_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
MCF7_E2_ERA_rep2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
